"regulatoryGene","targetGene","weight"
"AT4G17880","AT3G28220",0.0946059485733825
"AT2G31280","AT5G60890",0.0941338732850986
"AT2G46270","AT1G60270",0.0940281956646385
"AT1G03040","AT1G73120",0.0918117713657496
"AT5G49450","AT4G17500",0.0917525547009564
"AT4G29930","AT1G60270",0.0910297238829594
"AT3G24140","AT3G53720",0.0898944366076051
"AT5G49450","AT1G01720",0.0877866254774244
"AT5G49450","AT4G13250",0.0876673081484115
"AT3G06590","AT2G18300",0.087004813006549
"AT4G29100","AT2G28780",0.0862073888854843
"AT3G56850","AT1G73120",0.0860665072961509
"AT2G43010","AT5G15265",0.0854397091658405
"AT5G06950","AT5G53210",0.0852890794486574
"AT5G49450","AT1G73480",0.0851298799696254
"AT4G36930","AT1G33750",0.0850277554646906
"AT1G22070","AT2G42940",0.0839625014839063
"AT2G18300","AT4G36890",0.0819368498230742
"AT4G36730","AT2G28780",0.0808594185393314
"AT5G49450","AT5G54165",0.0803293870584625
"AT1G32640","AT1G06620",0.0800984758485771
"AT3G24140","AT1G69040",0.0797310055635222
"AT1G32150","AT2G35930",0.0796439922898794
"AT4G01120","AT2G35930",0.0787961176704119
"AT2G41070","AT1G60270",0.0786698467318546
"AT5G49450","AT1G19180",0.0785902445633272
"AT3G07340","AT2G28780",0.0782393121182882
"AT5G49450","AT3G22370",0.0782235518961478
"AT3G24140","AT1G33240",0.0777340708113686
"AT1G32640","AT5G48540",0.0766670597459361
"AT5G49450","AT1G15100",0.0764732388507535
"AT5G24800","AT4G37730",0.0762205319966894
"AT4G36540","AT3G62160",0.0760805220906822
"AT1G49720","AT2G42940",0.0758408313135958
"AT3G24140","AT3G12502",0.0758121071300604
"AT3G24140","AT1G20490",0.0754271336065421
"AT5G08130","AT1G14120",0.0752534054838136
"AT5G49450","AT3G29575",0.0751582779535768
"AT5G49450","AT1G07150",0.0747106759036227
"AT2G24260","AT5G10140",0.0743944965221802
"AT5G49450","AT5G43260",0.0735478784641652
"AT4G38900","AT2G42940",0.0732870361793898
